AC_No,AC_Name,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Share_%,Source_URL,Rank_In_Constituency
215,Kurtha,AVINASH KUMAR,Independent,474,2,476,0.29,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04215.htm,14
216,Jehanabad,RAHUL KUMAR,Rashtriya Janata Dal,85706,696,86402,44.64,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04216.htm,1
216,Jehanabad,CHANDESHWAR PRASAD,Janata Dal (United),85168,441,85609,44.23,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04216.htm,2
216,Jehanabad,ABHIRAM SINGH,Jan Suraaj Party,5674,86,5760,2.98,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04216.htm,3
216,Jehanabad,NOTA,None of the Above,4561,16,4577,2.36,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04216.htm,4
216,Jehanabad,RITESH KUMAR,Independent,4316,14,4330,2.24,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04216.htm,5
216,Jehanabad,BABLU KUMAR,Independent,1262,12,1274,0.66,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04216.htm,6
216,Jehanabad,BALESHWAR SINGH,Aam Aadmi Party,1172,3,1175,0.61,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04216.htm,7
216,Jehanabad,SIDDHANATH KUMAR,Kisan Sangharsh Samiti,1151,0,1151,0.59,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04216.htm,8
216,Jehanabad,RAJU KUMAR,Socialist Unity Centre Of India (COMMUNIST),931,1,932,0.48,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04216.htm,9
216,Jehanabad,PRAMOD YADAV,Rashtriya Lok Janshakti Party,921,6,927,0.48,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04216.htm,10
216,Jehanabad,NITISH KUMAR,Bhagidari Party(P),899,6,905,0.47,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04216.htm,11
216,Jehanabad,RAMBHA KUMARI,Samajwadi Lok Parishad,498,1,499,0.26,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04216.htm,12
217,Ghosi,RITURAJ KUMAR,Janata Dal (United),80203,537,80740,47.05,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04217.htm,1
217,Ghosi,RAMBALI SINGH YADAV,Communist Party of India (Marxist-Leninist) (Liberation),68408,403,68811,40.1,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04217.htm,2
217,Ghosi,ANURADHA SINHA,Bahujan Samaj Party,3688,27,3715,2.17,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04217.htm,3
217,Ghosi,WASIF HUSNAIN,Independent,3493,0,3493,2.04,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04217.htm,4
217,Ghosi,SATYENDRA PRASAD YADAV,Independent,3071,2,3073,1.79,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04217.htm,5
217,Ghosi,NOTA,None of the Above,3063,10,3073,1.79,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04217.htm,5
217,Ghosi,PRABHAT KUMAR,Jan Suraaj Party,3013,57,3070,1.79,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04217.htm,6
217,Ghosi,RAJESH RANJAN,Independent,1926,5,1931,1.13,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04217.htm,7
217,Ghosi,INDU KUMARI,Socialist Unity Centre Of India (COMMUNIST),1835,7,1842,1.07,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04217.htm,8
217,Ghosi,RAKESH ROUSHAN,Aam Janta Party Rashtriya,830,6,836,0.49,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04217.htm,9
217,Ghosi,VIJAY SHARMA,Bhartiya Sarthak Party,565,2,567,0.33,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04217.htm,10
217,Ghosi,SARYU PRASAD SINGH,Kisan Sangharsh Samiti,440,1,441,0.26,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04217.htm,11
218,Makhdumpur,SUBEDAR DAS,Rashtriya Janata Dal,74389,380,74769,44.93,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04218.htm,1
218,Makhdumpur,RANI KUMARI,Lok Janshakti Party (Ram Vilas),72535,404,72939,43.83,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04218.htm,2
218,Makhdumpur,SHANKAR SWARUP,Jan Suraaj Party,4740,63,4803,2.89,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04218.htm,3
218,Makhdumpur,SUDHIR CHOUDHARY,Bahujan Samaj Party,3503,14,3517,2.11,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04218.htm,4
218,Makhdumpur,NOTA,None of the Above,2756,4,2760,1.66,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04218.htm,5
218,Makhdumpur,SHAILENDRA CHAUDHARI,Independent,2756,1,2757,1.66,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04218.htm,6
218,Makhdumpur,CHHOTELAL PASWAN,Rashtriya Lok Janshakti Party,1723,10,1733,1.04,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04218.htm,7
218,Makhdumpur,MINTA DEVI,Independent,1180,4,1184,0.71,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04218.htm,8
218,Makhdumpur,DINESH PASWAN,Kisan Sangharsh Samiti,1143,2,1145,0.69,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04218.htm,9
218,Makhdumpur,PREM KISHOR PASWAN,Bhartiya Lok Chetna Party,790,2,792,0.48,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04218.htm,10
219,Goh,AMRENDRA KUMAR,Rashtriya Janata Dal,93243,381,93624,44.23,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04219.htm,1
219,Goh,DR. RANVIJAY KUMAR,Bharatiya Janata Party,89282,301,89583,42.32,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04219.htm,2
219,Goh,SITARAM DUKHARI,Jan Suraaj Party,7949,47,7996,3.78,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04219.htm,3
219,Goh,MD EKLAKHA,Aazad Samaj Party (Kanshi Ram),6613,18,6631,3.13,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04219.htm,4
219,Goh,NOTA,None of the Above,4646,3,4649,2.2,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04219.htm,5
219,Goh,SHIV SHANKER SINGH,Independent,3114,1,3115,1.47,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04219.htm,6
219,Goh,SANJAY PRASAD ALIAS ER. SANJAY PRASAD KUSHWAHA,Bahujan Samaj Party,1938,8,1946,0.92,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04219.htm,7
219,Goh,SONU KUMAR,Jagrook Janta Party,1369,2,1371,0.65,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04219.htm,8
219,Goh,RAJEEV RANJAN,Independent,922,0,922,0.44,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04219.htm,9
219,Goh,AMIT KUMAR,Independent,890,3,893,0.42,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04219.htm,10
219,Goh,ARUN KUMAR AMAR,Socialist Party (India),486,1,487,0.23,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04219.htm,11
219,Goh,MUNDRIKA PRASAD,Independent,452,0,452,0.21,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04219.htm,12
220,Obra,PRAKASH CHANDRA,Lok Janshakti Party (Ram Vilas),91177,461,91638,44.83,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04220.htm,1
220,Obra,RISHI KUMAR,Rashtriya Janata Dal,79025,600,79625,38.95,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04220.htm,2
220,Obra,SANJAY KUMAR,Bahujan Samaj Party,7873,23,7896,3.86,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04220.htm,3
220,Obra,MD TAUFIQUE ALAM,Independent,4564,2,4566,2.23,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04220.htm,4
220,Obra,UDAY NARAYAN RAJBHAR,Suheldev Bharatiya Samaj Party,3968,0,3968,1.94,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04220.htm,5
220,Obra,SUDHIR KUMAR SHARMA,Jan Suraaj Party,3707,72,3779,1.85,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04220.htm,6
220,Obra,RAM RAJ YADAV,Independent,2820,0,2820,1.38,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04220.htm,7
220,Obra,SOM PRAKASH,Swaraj Party (Loktantrik),1674,12,1686,0.82,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04220.htm,8
220,Obra,HARISANT KUMAR,Independent,1574,3,1577,0.77,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04220.htm,9
220,Obra,SHIV NATH SAV,Independent,1398,0,1398,0.68,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04220.htm,10
220,Obra,PRATIMA KUMARI,Rashtriya Lok Janshakti Party,1089,7,1096,0.54,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04220.htm,11
220,Obra,NOTA,None of the Above,912,7,919,0.45,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04220.htm,12
220,Obra,BRAJ KISHOR SINGH,Independent,829,0,829,0.41,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04220.htm,13
220,Obra,DHARMENDRA KUMAR,Jagrook Janta Party,610,3,613,0.3,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04220.htm,14
220,Obra,JITENDRA DUBEY,Akhil Bharatiya Jan Sangh,484,1,485,0.24,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04220.htm,15
220,Obra,DHIRAJ KUMAR,Independent,480,2,482,0.24,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04220.htm,16
220,Obra,AJIT KUMAR,Aam Janta Party Rashtriya,369,4,373,0.18,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04220.htm,17
220,Obra,DR. DHARMENDRA KUMAR,Akhil Hind Forward Bloc (Krantikari),369,2,371,0.18,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04220.htm,18
220,Obra,JAYNAND RAM,New India United Party,300,1,301,0.15,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04220.htm,19
221,Nabinagar,CHETAN ANAND,Janata Dal (United),80115,265,80380,42.29,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04221.htm,1
221,Nabinagar,AMOD KUMAR SINGH,Rashtriya Janata Dal,79977,291,80268,42.23,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04221.htm,2
221,Nabinagar,LAV KUMAR SINGH,Independent,7050,25,7075,3.72,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04221.htm,3
221,Nabinagar,VINOD KUMAR,Bahujan Samaj Party,6578,17,6595,3.47,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04221.htm,4
221,Nabinagar,ARCHANA CHANDRA,Jan Suraaj Party,4033,52,4085,2.15,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04221.htm,5
221,Nabinagar,NOTA,None of the Above,4037,5,4042,2.13,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04221.htm,6
221,Nabinagar,MRITUNJAY KUMAR,Independent,3652,18,3670,1.93,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04221.htm,7
221,Nabinagar,DHARMENDRA RAJWAR,Suheldev Bharatiya Samaj Party,2333,3,2336,1.23,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04221.htm,8
221,Nabinagar,ANIL RAM,Socialist Unity Centre Of India (COMMUNIST),904,2,906,0.48,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04221.htm,9
221,Nabinagar,AJAY BHUIYAN,Swaraj Party (Loktantrik),707,2,709,0.37,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04221.htm,10
222,Kutumba,LALAN RAM,Hindustani Awam Morcha (Secular),84465,262,84727,48.79,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04222.htm,1
222,Kutumba,RAJESH KUMAR,Indian National Congress,62922,280,63202,36.4,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04222.htm,2
222,Kutumba,SHYAMBALI RAM,Jan Suraaj Party,6029,36,6065,3.49,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04222.htm,3
222,Kutumba,RAM JANAM RAM,Aazad Samaj Party (Kanshi Ram),6014,8,6022,3.47,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04222.htm,4
222,Kutumba,NOTA,None of the Above,2610,4,2614,1.51,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04222.htm,5
222,Kutumba,VIRAMANU KUMAR BHUSHAN,Independent,2575,3,2578,1.48,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04222.htm,6
222,Kutumba,PRAKASH KUMAR,Bahujan Samaj Party,2538,11,2549,1.47,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04222.htm,7
222,Kutumba,PUSHP LATA DEVI,Independent,1424,3,1427,0.82,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04222.htm,8
222,Kutumba,ANGAD KUMAR,Gana Suraksha Party,1411,1,1412,0.81,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04222.htm,9
222,Kutumba,RAKESH RAM,Independent,1165,0,1165,0.67,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04222.htm,10
222,Kutumba,RIMA KUMARI,Rashtrawadi Janlok Party (Satya),1019,0,1019,0.59,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04222.htm,11
222,Kutumba,NARENDRA KUMAR RAM,Independent,860,4,864,0.5,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04222.htm,12
223,Aurangabad,TRIVIKRAM NARAYAN SINGH,Bharatiya Janata Party,86837,363,87200,43.38,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04223.htm,1
223,Aurangabad,ANAND SHANKAR SINGH,Indian National Congress,79761,645,80406,40,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04223.htm,2
223,Aurangabad,SHAKTI KUMAR MISHRA,Bahujan Samaj Party,19682,94,19776,9.84,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04223.htm,3
223,Aurangabad,NOTA,None of the Above,3346,6,3352,1.67,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04223.htm,4
223,Aurangabad,SURENDRA PRASAD,Independent,2854,0,2854,1.42,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04223.htm,5
223,Aurangabad,NAND KISHOR YADAV,Jan Suraaj Party,2723,32,2755,1.37,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04223.htm,6
223,Aurangabad,LOKNATH SINGH,Independent,1335,0,1335,0.66,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04223.htm,7
223,Aurangabad,RAM SWARUP PASWAN,Independent,654,4,658,0.33,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04223.htm,8
223,Aurangabad,RAMBAHADUR SINGH,Independent,618,0,618,0.31,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04223.htm,9
223,Aurangabad,NEHA KUMARI,Independent,370,2,372,0.19,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04223.htm,10
223,Aurangabad,BINOD PRASAD CHAUDHARI,Independent,339,1,340,0.17,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04223.htm,11
223,Aurangabad,VINAY KUMAR SINGH,Akhil Hind Forward Bloc (Krantikari),302,0,302,0.15,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04223.htm,12
223,Aurangabad,PRAYAG PASWAN,Socialist Unity Centre Of India (COMMUNIST),293,4,297,0.15,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04223.htm,13
223,Aurangabad,DHIRENDRA KUMAR SINGH,Independent,273,0,273,0.14,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04223.htm,14
223,Aurangabad,ASHISH KUMAR SONI,Independent,258,0,258,0.13,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04223.htm,15
223,Aurangabad,AJIT KUMAR,Independent,198,0,198,0.1,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04223.htm,16
224,Rafiganj,PRAMOD KUMAR SINGH,Janata Dal (United),107120,395,107515,47.95,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04224.htm,1
224,Rafiganj,GHULAM SHAHID,Rashtriya Janata Dal,95198,361,95559,42.61,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04224.htm,2
224,Rafiganj,NOTA,None of the Above,4954,4,4958,2.21,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04224.htm,3
224,Rafiganj,SUMAN KUMARI,Bahujan Samaj Party,4410,22,4432,1.98,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04224.htm,4
224,Rafiganj,SURYADEEP SINGH,Independent,4214,1,4215,1.88,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04224.htm,5
224,Rafiganj,VIKASH KUMAR SINGH,Jan Suraaj Party,3008,21,3029,1.35,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04224.htm,6
224,Rafiganj,NANDLAL SUMAN,Independent,1051,0,1051,0.47,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04224.htm,7
224,Rafiganj,SAT NARAIN,Independent,1031,1,1032,0.46,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04224.htm,8
224,Rafiganj,RITESH KUMAR,Independent,773,1,774,0.35,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04224.htm,9
224,Rafiganj,UPENDRA KUMAR,Independent,555,0,555,0.25,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04224.htm,10
224,Rafiganj,RAHUL KUMAR,Jagrook Janta Party,437,1,438,0.2,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04224.htm,11
224,Rafiganj,MAHESHWAR PASWAN,Akhil Hind Forward Bloc (Krantikari),430,4,434,0.19,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04224.htm,12
224,Rafiganj,RAJESH KUMAR,Sampoorna Bharat Kranti Party,247,0,247,0.11,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04224.htm,13
225,Gurua,UPENDRA PRASAD,Bharatiya Janata Party,99423,335,99758,49.02,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04225.htm,1
225,Gurua,VINAY KUMAR,Rashtriya Janata Dal,75235,329,75564,37.13,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04225.htm,2
225,Gurua,RAGHVENDRA NARAYAN YADAV,Bahujan Samaj Party,8211,31,8242,4.05,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04225.htm,3
225,Gurua,SANJEEVA SHYAM SINGH,Jan Suraaj Party,4348,52,4400,2.16,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04225.htm,4
225,Gurua,NOTA,None of the Above,3942,4,3946,1.94,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04225.htm,5
225,Gurua,SYED IMRAN NABI,Aazad Samaj Party (Kanshi Ram),3509,5,3514,1.73,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04225.htm,6
225,Gurua,NAGDEV PASWAN,Independent,1890,2,1892,0.93,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04225.htm,7
225,Gurua,ANIL SINGH,Yuva Samriddhi Dal,1170,1,1171,0.58,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04225.htm,8
225,Gurua,NITISH KUMAR,Rashtriya Lok Janshakti Party,1143,5,1148,0.56,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04225.htm,9
225,Gurua,RAJENDRA KUMAR,Independent,1140,0,1140,0.56,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04225.htm,10
225,Gurua,MAHENDRA KUMAR,Independent,1034,1,1035,0.51,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04225.htm,11
225,Gurua,DHARMENDRA NARAYAN,Rashtriya Jantantrik Morcha,600,0,600,0.29,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04225.htm,12
225,Gurua,SAMTA KUMAR,Akhil Hind Forward Bloc (Krantikari),575,0,575,0.28,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04225.htm,13
225,Gurua,GAUTAM KUMAR,Swaraj Party (Loktantrik),520,3,523,0.26,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04225.htm,14
226,Sherghati,UDAY KUMAR SINGH,Lok Janshakti Party (Ram Vilas),77118,152,77270,38.13,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04226.htm,1
226,Sherghati,PRAMOD KUMAR VERMA,Rashtriya Janata Dal,63468,278,63746,31.46,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04226.htm,2
226,Sherghati,PAWAN KISHORE,Jan Suraaj Party,18859,123,18982,9.37,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04226.htm,3
226,Sherghati,SHANE ALI KHAN,All India Majlis-E-Ittehadul Muslimeen,14722,32,14754,7.28,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04226.htm,4
226,Sherghati,SURENDRA KUMAR SUMAN,Independent,8253,31,8284,4.09,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04226.htm,5
226,Sherghati,NOTA,None of the Above,6967,1,6968,3.44,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04226.htm,6
226,Sherghati,SHAILESH KUMAR MISHRA,Bahujan Samaj Party,2725,20,2745,1.35,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04226.htm,7
226,Sherghati,MUKESH KUMAR YADAV,Independent,2695,12,2707,1.34,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04226.htm,8
226,Sherghati,KARAN RAJ,Moulik Adhikar Party,1534,1,1535,0.76,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04226.htm,9
226,Sherghati,SHAVINA PRAVIN,Independent,1309,0,1309,0.65,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04226.htm,10
226,Sherghati,SARJU DAS JEE MAHARAJ,Independent,1258,1,1259,0.62,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04226.htm,11
226,Sherghati,RAJIV KUMAR,Independent,938,2,940,0.46,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04226.htm,12
226,Sherghati,SANTOSH THAKUR,Swaraj Party (Loktantrik),771,3,774,0.38,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04226.htm,13
226,Sherghati,PANKAJ KUMAR MISHRA,Samajwadi Lok Parishad,695,0,695,0.34,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04226.htm,14
226,Sherghati,CHANDRADEV KUMAR YADAV,Independent,671,1,672,0.33,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04226.htm,15
227,Imamganj,DEEPA KUMARI,Hindustani Awam Morcha (Secular),104650,211,104861,50.83,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04227.htm,1
227,Imamganj,RITU PRIYA CHAUDHARY,Rashtriya Janata Dal,78758,247,79005,38.3,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04227.htm,2
227,Imamganj,DR. AJEET KUMAR,Jan Suraaj Party,11834,78,11912,5.77,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04227.htm,3
227,Imamganj,NOTA,None of the Above,3596,0,3596,1.74,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04227.htm,4
227,Imamganj,TENGAR PASWAN,Independent,2312,1,2313,1.12,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04227.htm,5
227,Imamganj,BANARSI DAS,Peoples Party of India (Democratic),2048,1,2049,0.99,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04227.htm,6
